Time,Temperature¡C,Humidity%
14-06-2021 23:47:53,30.8,30.5
14-06-2021 23:57:53,30.8,30.5
15-06-2021 00:07:53,30.7,30.5
15-06-2021 00:17:53,30.7,30.5
15-06-2021 00:27:53,30.6,30.5
15-06-2021 00:37:53,30.6,30.5
15-06-2021 00:47:53,30.5,30.5
15-06-2021 00:57:53,30.5,30.5
15-06-2021 01:07:53,30.5,31
15-06-2021 01:17:53,30.5,31
15-06-2021 01:27:53,30.5,31
15-06-2021 01:37:53,30.5,31
15-06-2021 01:47:53,30.4,31.6
15-06-2021 01:57:53,30.4,31.6
15-06-2021 02:07:53,30.3,31.6
15-06-2021 02:17:53,30.3,31.6
15-06-2021 02:27:53,30.2,31.6
15-06-2021 02:37:53,30.2,31.6
15-06-2021 02:47:53,30.2,31.6
15-06-2021 02:57:53,30.1,31.6
15-06-2021 03:07:53,30.1,31.6
15-06-2021 03:17:53,30,31.6
15-06-2021 03:27:53,30,31.6
15-06-2021 03:37:53,29.9,31.6
15-06-2021 03:47:53,29.9,31.5
15-06-2021 03:57:53,29.9,31.5
15-06-2021 04:07:53,29.8,31.5
15-06-2021 04:17:53,29.8,31.5
15-06-2021 04:27:53,29.8,32.1
15-06-2021 04:37:53,29.7,32.1
15-06-2021 04:47:53,29.7,32.1
15-06-2021 04:57:53,29.6,32.1
15-06-2021 05:07:53,29.6,32.1
15-06-2021 05:17:53,29.5,32.1
15-06-2021 05:27:53,29.5,32.7
15-06-2021 05:37:53,29.5,32.7
15-06-2021 05:47:53,29.5,32.7
15-06-2021 05:57:53,29.5,32.6
15-06-2021 06:07:53,29.5,32.6
15-06-2021 06:17:53,29.5,32.6
15-06-2021 06:27:53,29.5,32.1
15-06-2021 06:37:53,30.2,31.6
15-06-2021 06:47:53,30.8,31
15-06-2021 06:57:53,31.3,30.5
15-06-2021 07:07:53,31.7,30
15-06-2021 07:17:53,31.9,29.4
15-06-2021 07:27:53,32.2,29.4
15-06-2021 07:37:53,32.4,29.4
15-06-2021 07:47:53,32.5,29.4
15-06-2021 07:57:53,32.5,28.9
15-06-2021 08:07:53,32.5,29.4
15-06-2021 08:17:53,32.5,28.8
15-06-2021 08:27:53,32.4,29.4
15-06-2021 08:37:53,32.3,29.4
15-06-2021 08:47:53,32.2,29.4
15-06-2021 08:57:53,32.2,29.4
15-06-2021 09:07:53,32,29.4
15-06-2021 09:17:53,31.9,29.4
15-06-2021 09:27:53,31.8,29.4
15-06-2021 09:37:53,31.8,29.4
15-06-2021 09:47:53,31.7,29.4
15-06-2021 09:57:53,31.7,29.4
15-06-2021 10:07:53,31.6,29.9
15-06-2021 10:17:53,31.6,29.9
15-06-2021 10:27:53,31.6,30.5
15-06-2021 10:37:53,31.6,30.5
15-06-2021 10:47:53,31.6,30.5
15-06-2021 10:57:53,31.6,30.5
15-06-2021 11:07:53,31.6,30.5
15-06-2021 11:17:53,31.6,30.5
15-06-2021 11:27:53,31.7,30.5
15-06-2021 11:37:53,31.4,30.5
15-06-2021 11:47:53,31.6,30
15-06-2021 11:57:53,31.6,30.6
15-06-2021 12:07:53,31.7,30
15-06-2021 12:17:53,31.7,30
15-06-2021 12:27:53,31.8,30
15-06-2021 12:37:53,31.9,29.4
15-06-2021 12:47:53,32,29.4
15-06-2021 12:57:53,32,29.4
15-06-2021 13:07:53,32.1,29.4
15-06-2021 13:17:53,32.2,29.5
15-06-2021 13:27:53,32.2,29.5
15-06-2021 13:37:53,32.3,29.5
15-06-2021 13:47:53,32.4,28.9
15-06-2021 13:57:53,32.4,28.9
15-06-2021 14:07:53,32.4,28.9
15-06-2021 14:17:53,32.5,28.9
15-06-2021 14:27:53,32.6,28.9
15-06-2021 14:37:53,32.6,28.3
15-06-2021 14:47:53,32.6,28.3
15-06-2021 14:57:53,32.7,28.3
15-06-2021 15:07:53,32.7,28.3
15-06-2021 15:17:53,32.8,28.3
15-06-2021 15:27:53,32.8,28.3
15-06-2021 15:37:53,32.8,28.4
15-06-2021 15:47:53,32.8,28.4
15-06-2021 15:57:53,32.9,28.4
15-06-2021 16:07:53,32.9,28.4
15-06-2021 16:17:53,32.9,28.4
15-06-2021 16:27:53,32.9,28.4
15-06-2021 16:37:53,32.9,27.8
15-06-2021 16:47:53,32.9,27.8
15-06-2021 16:57:53,32.9,27.8
15-06-2021 17:07:53,32.9,27.2
15-06-2021 17:17:53,32.9,27.2
15-06-2021 17:27:53,32.9,27.2
15-06-2021 17:37:53,32.9,27.2
15-06-2021 17:47:53,32.9,27.2
15-06-2021 17:57:53,32.9,27.2
15-06-2021 18:07:53,32.9,27.2
15-06-2021 18:17:53,32.9,27.2
15-06-2021 18:27:53,32.9,27.2
15-06-2021 18:37:53,32.8,27.2
15-06-2021 18:47:53,32.8,27.2
15-06-2021 18:57:53,32.8,27.2
15-06-2021 19:07:53,32.8,27.2
15-06-2021 19:17:53,32.7,27.2
15-06-2021 19:27:53,32.7,27.2
15-06-2021 19:37:53,32.7,27.2
15-06-2021 19:47:53,32.6,27.2
15-06-2021 19:57:53,32.6,27.2
15-06-2021 20:07:53,32.5,27.1
15-06-2021 20:17:53,32.4,27.7
15-06-2021 20:27:53,32.3,28.3
15-06-2021 20:37:53,32.2,28.3
15-06-2021 20:47:53,32.2,28.3
15-06-2021 20:57:53,32.1,28.3
15-06-2021 21:07:53,32.1,28.3
15-06-2021 21:17:53,32,28.3
15-06-2021 21:27:53,32,28.3
15-06-2021 21:37:53,32,28.3
15-06-2021 21:47:53,31.9,28.3
15-06-2021 21:57:53,31.9,28.3
15-06-2021 22:07:53,31.9,28.3
15-06-2021 22:17:53,31.8,28.8
15-06-2021 22:27:53,31.8,28.8
15-06-2021 22:37:53,31.8,29.4
15-06-2021 22:47:53,31.7,29.4
15-06-2021 22:57:53,31.7,29.4
15-06-2021 23:07:53,31.7,29.4
15-06-2021 23:17:53,31.7,29.4
15-06-2021 23:27:53,31.7,29.4
15-06-2021 23:37:53,31.7,29.4
15-06-2021 23:47:53,31.6,29.4
15-06-2021 23:57:53,31.6,29.4
16-06-2021 00:07:53,31.6,29.4
16-06-2021 00:17:53,31.5,29.4
16-06-2021 00:27:53,31.5,29.4
16-06-2021 00:37:53,31.4,29.4
16-06-2021 00:47:53,31.4,29.4
16-06-2021 00:57:53,31.4,30
16-06-2021 01:07:53,31.4,30
16-06-2021 01:17:53,31.3,29.9
16-06-2021 01:27:53,31.3,30.5
16-06-2021 01:37:53,31.2,30.5
16-06-2021 01:47:53,31.2,30.5
16-06-2021 01:57:53,31.2,30.5
16-06-2021 02:07:53,31.2,30.5
16-06-2021 02:17:53,31.1,30.5
16-06-2021 02:27:53,31.1,30.5
16-06-2021 02:37:53,31,30.5
16-06-2021 02:47:53,31,30.5
16-06-2021 02:57:53,30.9,30.5
16-06-2021 03:07:53,30.9,30.5
16-06-2021 03:17:53,30.9,30.5
16-06-2021 03:27:53,30.8,31.1
16-06-2021 03:37:53,30.8,31.1
16-06-2021 03:47:53,30.7,30.5
16-06-2021 03:57:53,30.7,31
16-06-2021 04:07:53,30.6,31
16-06-2021 04:17:53,30.6,31
16-06-2021 04:27:53,30.6,31
16-06-2021 04:37:53,30.6,31
16-06-2021 04:47:53,30.5,31.6
16-06-2021 04:57:53,30.5,31.6
16-06-2021 05:07:53,30.5,31.6
16-06-2021 05:17:53,30.4,31.6
16-06-2021 05:27:53,30.4,31.6
16-06-2021 05:37:53,30.4,31.6
16-06-2021 05:47:53,30.3,31.6
16-06-2021 05:57:53,30.3,31.6
16-06-2021 06:07:53,30.3,31.6
16-06-2021 06:17:53,30.4,31.6
16-06-2021 06:27:53,30.5,31.6
16-06-2021 06:37:53,30.7,31.6
16-06-2021 06:47:53,31.1,30.5
16-06-2021 06:57:53,31.4,30.5
16-06-2021 07:07:53,31.7,30.5
16-06-2021 07:17:53,32,30
16-06-2021 07:27:53,32.2,29.4
16-06-2021 07:37:53,32.3,29.4
16-06-2021 07:47:53,32.3,29.4
16-06-2021 07:57:53,32.4,28.9
16-06-2021 08:07:53,32.5,28.9
16-06-2021 08:17:53,32.5,28.9
16-06-2021 08:27:53,32.5,28.3
16-06-2021 08:37:53,32.5,28.9
16-06-2021 08:47:53,32.4,28.3
16-06-2021 08:57:53,32.3,28.9
16-06-2021 09:07:53,32.3,28.9
16-06-2021 09:17:53,32.3,28.9
16-06-2021 09:27:53,32.2,28.9
16-06-2021 09:37:53,32.2,28.9
16-06-2021 09:47:53,32.1,29.5
16-06-2021 09:57:53,32.1,29.5
16-06-2021 10:07:53,32.1,29.5
16-06-2021 10:17:53,32.2,29.5
16-06-2021 10:27:53,32.2,29.5
16-06-2021 10:37:53,32.2,29.5
16-06-2021 10:47:53,32.2,29.5
16-06-2021 10:57:53,32.3,29.5
16-06-2021 11:07:53,32.3,29.5
16-06-2021 11:17:53,32.4,29.5
16-06-2021 11:27:53,32.4,29.5
16-06-2021 11:37:53,32.5,29.5
16-06-2021 11:47:53,32.6,29.5
16-06-2021 11:57:53,32.6,29.5
16-06-2021 12:07:53,32.7,29.5
16-06-2021 12:17:53,32.7,29.5
16-06-2021 12:27:53,32.8,28.9
16-06-2021 12:37:53,32.9,28.9
16-06-2021 12:47:53,32.9,28.4
16-06-2021 12:57:53,33,28.4
16-06-2021 13:07:53,33,28.4
16-06-2021 13:17:53,33.1,28.4
16-06-2021 13:27:53,33.1,28.4
16-06-2021 13:37:53,33.2,28.4
16-06-2021 13:47:53,33.2,28.4
16-06-2021 13:57:53,33.3,28.4
16-06-2021 14:07:53,33.4,27.8
16-06-2021 14:17:53,33.4,27.8
16-06-2021 14:27:53,33.5,27.2
16-06-2021 14:37:53,33.5,27.2
16-06-2021 14:47:53,33.6,27.2
16-06-2021 14:57:53,33.6,27.2
16-06-2021 15:07:53,33.6,27.2
16-06-2021 15:17:53,33.7,27.3
16-06-2021 15:27:53,33.7,27.3
16-06-2021 15:37:53,33.8,27.3
16-06-2021 15:47:53,33.8,27.3
16-06-2021 15:57:53,33.8,27.3
16-06-2021 16:07:53,33.8,27.3
16-06-2021 16:17:53,33.8,26.7
16-06-2021 16:27:53,33.8,26.7
16-06-2021 16:37:53,33.8,26.7
16-06-2021 16:47:53,33.8,26.1
16-06-2021 16:57:53,33.8,26.1
16-06-2021 17:07:53,33.8,26.1
16-06-2021 17:17:53,33.8,26.1
16-06-2021 17:27:53,33.8,26.1
16-06-2021 17:37:53,33.8,26.7
16-06-2021 17:47:53,33.8,26.7
16-06-2021 17:57:53,33.8,26.7
16-06-2021 18:07:53,33.8,26.7
16-06-2021 18:17:53,33.8,26.7
16-06-2021 18:27:53,33.7,26.7
16-06-2021 18:37:53,33.7,26.7
16-06-2021 18:47:53,33.7,27.2
16-06-2021 18:57:53,33.7,27.2
16-06-2021 19:07:53,33.6,27.2
16-06-2021 19:17:53,33.6,27.2
16-06-2021 19:27:53,33.5,27.2
16-06-2021 19:37:53,33.5,27.2
16-06-2021 19:47:53,33.4,27.2
16-06-2021 19:57:53,33.4,27.2
16-06-2021 20:07:53,33.3,27.2
16-06-2021 20:17:53,33.2,27.2
16-06-2021 20:27:53,33.1,27.8
16-06-2021 20:37:53,33,27.8
16-06-2021 20:47:53,33,28.4
16-06-2021 20:57:53,33,28.4
16-06-2021 21:07:53,32.9,28.3
16-06-2021 21:17:53,32.9,28.3
16-06-2021 21:27:53,32.8,28.3
16-06-2021 21:37:53,32.8,28.3
16-06-2021 21:47:53,32.7,28.3
16-06-2021 21:57:53,32.7,28.3
16-06-2021 22:07:53,32.7,28.3
16-06-2021 22:17:53,32.6,28.9
16-06-2021 22:27:53,32.6,28.9
16-06-2021 22:37:53,32.6,28.9
16-06-2021 22:47:53,32.5,29.5
16-06-2021 22:57:53,32.5,29.5
16-06-2021 23:07:53,32.4,29.5
16-06-2021 23:17:53,32.4,29.5
16-06-2021 23:27:53,32.4,29.5
16-06-2021 23:37:53,32.3,29.5
16-06-2021 23:47:53,32.3,29.5
16-06-2021 23:57:53,32.2,29.5
17-06-2021 00:07:53,32.2,29.4
17-06-2021 00:17:53,32.2,29.4
17-06-2021 00:27:53,32.1,30
17-06-2021 00:37:53,32.1,30
17-06-2021 00:47:53,32,30.6
17-06-2021 00:57:53,32,30.6
17-06-2021 01:07:53,32,30.6
17-06-2021 01:17:53,31.9,30.6
17-06-2021 01:27:53,31.9,30.6
17-06-2021 01:37:53,31.9,30.6
