Time,Temperature°C,Humidity%
2021-06-21 00:57:53,32.85,26.0
2021-06-21 01:57:53,32.63333333333333,26.849999999999998
2021-06-21 02:57:53,32.366666666666674,27.099999999999998
2021-06-21 03:57:53,32.13333333333333,27.099999999999998
2021-06-21 04:57:53,31.91666666666667,27.099999999999998
2021-06-21 05:57:53,31.73333333333333,27.466666666666665
2021-06-21 06:57:53,32.06666666666667,27.38333333333333
2021-06-21 07:57:53,33.43333333333334,26.28333333333333
2021-06-21 08:57:53,33.833333333333336,25.5
2021-06-21 09:57:53,33.65,25.599999999999998
2021-06-21 10:57:53,33.61666666666667,25.88333333333333
2021-06-21 11:57:53,33.85,25.3
2021-06-21 12:57:53,34.15,24.900000000000002
2021-06-21 13:57:53,34.5,24.900000000000002
2021-06-21 14:57:53,34.800000000000004,24.600000000000005
2021-06-21 15:57:53,35.03333333333333,23.900000000000002
2021-06-21 16:57:53,35.166666666666664,23.8
2021-06-21 17:57:53,35.15,23.8
2021-06-21 18:57:53,35.03333333333333,23.8
2021-06-21 19:57:53,34.81666666666666,23.983333333333334
2021-06-21 20:57:53,34.333333333333336,24.8
2021-06-21 21:57:53,34.03333333333334,24.900000000000002
2021-06-21 22:57:53,33.74999999999999,25.483333333333334
2021-06-21 23:57:53,33.449999999999996,26.099999999999998
2021-06-22 00:57:53,33.23333333333333,27.099999999999998
2021-06-22 01:57:53,33.03333333333333,27.299999999999997
2021-06-22 02:57:53,32.88333333333333,27.916666666666668
2021-06-22 03:57:53,32.61666666666667,28.3
2021-06-22 04:57:53,32.35,28.2
2021-06-22 05:57:53,32.1,28.200000000000003
2021-06-22 06:57:53,32.483333333333334,27.316666666666663
2021-06-22 07:57:53,34.083333333333336,25.46666666666667
2021-06-22 08:57:53,34.24999999999999,24.900000000000002
2021-06-22 09:57:53,34.0,24.900000000000002
2021-06-22 10:57:53,33.916666666666664,24.900000000000002
2021-06-22 11:57:53,34.15,24.8
2021-06-22 12:57:53,34.48333333333333,23.7
2021-06-22 13:57:53,34.85,23.483333333333334
2021-06-22 14:57:53,35.133333333333326,22.599999999999998
2021-06-22 15:57:53,35.333333333333336,22.599999999999998
2021-06-22 16:57:53,35.4,22.599999999999998
2021-06-22 17:57:53,35.36666666666667,22.5
2021-06-22 18:57:53,35.25,22.599999999999998
2021-06-22 19:57:53,35.016666666666666,22.599999999999998
2021-06-22 20:57:53,34.583333333333336,22.53333333333333
2021-06-22 21:57:53,34.199999999999996,23.400000000000002
2021-06-22 22:57:53,33.949999999999996,24.099999999999998
